maxTradeDate,minTradeDate,accountNumberJoin,applid,postDate,caMosSncScoreDt,caMinMosSncScoreDt,TRADE_DATE,FICO_V30A_QUEST_SCOR,FICO_V30A_QUEST_F1,FICO_V30A_QUEST_F2,FICO_V30A_QUEST_F3,FICO_V30A_QUEST_F4,FICO_V30A_QUEST_F5,FILLER02,BKRPT_RCV_SCORE_VALU,BKRPT_RCV_SCORE_F1,BKRPT_RCV_SCORE_F2,BKRPT_RCV_SCORE_F3,BKRPT_RCV_SCORE_F4,BKRPT_RCV_SCORE_F5,VANTAGE_V3_SCORE,VANTAGE_V3_AAC1,VANTAGE_V3_AAC2,VANTAGE_V3_AAC3,VANTAGE_V3_AAC4,VANTAGE_V3_AAC5,PREMIER_V1_1_ALL0400,ALL0400_NumOpnTrades,PREMIER_V1_1_ALL0438,ALL0438_NumOpnTrades_Opened_Lst24M,PREMIER_V1_1_ALL1300,PREMIER_V1_1_ALL2320,ALL2320_NumTrades_30P_Evr,PREMIER_V1_1_ALL2327,ALL2327_NumTrades_30P_Lst12M,PREMIER_V1_1_ALL2357,PREMIER_V1_1_ALL2387,PREMIER_V1_1_ALL2480,PREMIER_V1_1_ALL2841,ALL2841_NumTrades_Unsat_CO,PREMIER_V1_1_ALL3510,PREMIER_V1_1_ALL5040,ALL5040_TotBalIn30_RptdLst6M,PREMIER_V1_1_ALL6250,PREMIER_V1_1_ALL6270,PREMIER_V1_1_ALL7110,PREMIER_V1_1_ALL7330,PREMIER_V1_1_ALL7336,PREMIER_V1_1_ALL7350,PREMIER_V1_1_ALL8120,ALL8120_MosSnc_LastOpnTrade,PREMIER_V1_1_ALL8152,ALL8152_MosSnc_Last30P,PREMIER_V1_1_ALL8220,PREMIER_V1_1_AUA0416,PREMIER_V1_1_BCA8153,PREMIER_V1_1_BCC3510,PREMIER_V1_1_BCC3512,PREMIER_V1_1_BCC7110,BCC7110_Util_OpenRevBankcard_RptdLst6M,PREMIER_V1_1_BCC7130,PREMIER_V1_1_COL5060,PREMIER_V1_1_COL8165,PREMIER_V1_1_HLC0416,HLC0416_NumOpenHELOC_RptdLst6M,PREMIER_V1_1_IQT9410,IQT9410_NumInq,PREMIER_V1_1_MTA0416,MTA0416_NumOpenMTG_RptdLst6M,PREMIER_V1_1_MTA6200,PREMIER_V1_1_MTA6270,PREMIER_V1_1_MTF5620,AmtPaid_OpenFirstMtg_RptdLst6M,PREMIER_V1_1_REV1370,PREMIER_V1_1_REV2841,PREMIER_V1_1_REV3422,PREMIER_V1_1_REV3510,PREMIER_V1_1_REV5020,PREMIER_V1_1_REV5030,PREMIER_V1_1_REV5320,PREMIER_V1_1_REV6230,PREMIER_V1_1_REV6270,PREMIER_V1_1_REV7110,REV7110_Util_OpenRev_RptdLst6M,PREMIER_V1_1_REV7420,PREMIER_V1_1_REV7430,PREMIER_V1_1_REV8120,PREMIER_V1_1_RTR6200,PREMIER_V1_1_RTR6280,PREMIER_V1_1_STU5320
8/4/2021,10/25/2014,1,SYS,12/31/2014,1,1,11/8/2014,682,39,10,13,18,NULL,NULL,743,2,34,10,30,NULL,657,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,90,95,27,5,5,5,13,13,324,0,9996,2,0,96,96,95,0,9998,98,NULL,0,0,1,1,90,1,54917,54917,5,0,2,3,53382,53382,56600,1,1,94,94,23,100,31,1,1,999999998
8/4/2021,10/25/2014,2,SYS,2/28/2015,0,0,2/11/2015,682,39,10,13,18,NULL,NULL,748,2,34,10,30,NULL,658,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,90,95,27,5,8,8,16,16,327,0,9996,2,0,96,96,94,0,9998,98,NULL,0,0,1,1,90,1,57694,57694,5,0,2,3,53001,53001,56600,1,1,94,94,23,100,34,1,1,999999998
8/4/2021,10/25/2014,3,SYS,8/31/2015,0,0,8/8/2015,698,39,10,18,33,NULL,NULL,755,2,34,30,10,NULL,660,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,88,95,23,5,14,14,21,21,333,0,9996,2,0,97,97,97,0,9998,98,NULL,0,0,1,1,90,1,63339,63339,3,0,2,3,53289,53289,56600,994,1,94,94,23,100,40,1,1,999999998
8/4/2021,10/25/2014,4,SYS,12/31/2015,1,1,11/8/2014,682,39,10,13,18,NULL,NULL,743,2,34,10,30,NULL,657,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,90,95,27,5,5,5,13,13,324,0,9996,2,0,96,96,95,0,9998,98,NULL,0,0,1,1,90,1,54917,54917,5,0,2,3,53382,53382,56600,1,1,94,94,23,100,31,1,1,999999998
8/4/2021,10/25/2014,5,SYS,2/28/2016,0,0,2/11/2015,682,39,10,13,18,NULL,NULL,748,2,34,10,30,NULL,658,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,90,95,27,5,8,8,16,16,327,0,9996,2,0,96,96,94,0,9998,98,NULL,0,0,1,1,90,1,57694,57694,5,0,2,3,53001,53001,56600,1,1,94,94,23,100,34,1,1,999999998
8/4/2021,10/25/2014,6,SYS,8/31/2016,0,0,8/8/2015,698,39,10,18,33,NULL,NULL,755,2,34,30,10,NULL,660,34,4,7,74,NULL,5,5,1,1,21,1,1,0,0,0,0,1,0,0,5,0,0,1,1,88,95,23,5,14,14,21,21,333,0,9996,2,0,97,97,97,0,9998,98,NULL,0,0,1,1,90,1,63339,63339,3,0,2,3,53289,53289,56600,994,1,94,94,23,100,40,1,1,999999998
